83, Federal-gov, Masters
83, Private, 12th
83, Private, Some-college
83, Private, 5th-6th
83, Private, Preschool
83, Private, 11th
83, Private, Doctorate
83, Private, 9th
83, Private, Assoc-acdm
83, Without-pay, Masters
83, Without-pay, Assoc-voc
83, Without-pay, Bachelors
83, Without-pay, 10th
83, Without-pay, 1st-4th
83, Without-pay, Prof-school
83, Without-pay, HS-grad
83, Without-pay, 7th-8th
83, Without-pay, 12th
83, Without-pay, Some-college
83, Without-pay, 5th-6th
83, Without-pay, Preschool
83, Without-pay, 11th
83, Without-pay, Doctorate
83, Without-pay, 9th
83, Without-pay, Assoc-acdm
83, Self-emp-inc, Masters
83, Self-emp-inc, Assoc-voc
83, Self-emp-inc, Bachelors
83, Self-emp-inc, 10th
83, Self-emp-inc, 1st-4th
83, Self-emp-inc, Prof-school
83, Self-emp-inc, HS-grad
83, Self-emp-inc, 7th-8th
83, Self-emp-inc, 12th
83, Self-emp-inc, Some-college
83, Self-emp-inc, 5th-6th
83, Self-emp-inc, Preschool
83, Self-emp-inc, 11th
83, Self-emp-inc, Doctorate
83, Self-emp-inc, 9th
83, Self-emp-inc, Assoc-acdm
83, State-gov, Masters
83, State-gov, Assoc-voc
83, State-gov, Bachelors
83, State-gov, 10th
83, State-gov, 1st-4th
83, State-gov, Prof-school
83, State-gov, HS-grad
83, State-gov, 7th-8th
83, State-gov, 12th
83, State-gov, Some-college
83, State-gov, 5th-6th
83, State-gov, Preschool
83, State-gov, 11th
83, State-gov, Doctorate
83, State-gov, 9th
83, State-gov, Assoc-acdm
75, Federal-gov, Masters
75, Federal-gov, Assoc-voc
75, Federal-gov, Bachelors
75, Federal-gov, 10th
75, Federal-gov, 1st-4th
75, Federal-gov, Prof-school
75, Federal-gov, HS-grad
75, Federal-gov, 7th-8th
75, Federal-gov, 12th
75, Federal-gov, Some-college
75, Federal-gov, 5th-6th
75, Federal-gov, Preschool
75, Federal-gov, 11th
75, Federal-gov, Doctorate
75, Federal-gov, 9th
75, Federal-gov, Assoc-acdm
75, ?, Masters
75, ?, Assoc-voc
75, ?, Bachelors
75, ?, 10th
75, ?, 1st-4th
75, ?, Prof-school
75, ?, HS-grad
75, ?, 7th-8th
75, ?, 12th
75, ?, Some-college
75, ?, 5th-6th
75, ?, Preschool
75, ?, 11th
75, ?, Doctorate
75, ?, 9th
75, ?, Assoc-acdm
75, Self-emp-not-inc, Masters
75, Self-emp-not-inc, Assoc-voc
75, Self-emp-not-inc, Bachelors
75, Self-emp-not-inc, 10th
75, Self-emp-not-inc, 1st-4th
75, Self-emp-not-inc, Prof-school
75, Self-emp-not-inc, HS-grad
75, Self-emp-not-inc, 7th-8th
75, Self-emp-not-inc, 12th
75, Self-emp-not-inc, Some-college
75, Self-emp-not-inc, 5th-6th
75, Self-emp-not-inc, Preschool
75, Self-emp-not-inc, 11th
75, Self-emp-not-inc, Doctorate
75, Self-emp-not-inc, 9th
75, Self-emp-not-inc, Assoc-acdm
75, Never-worked, Masters
75, Never-worked, Assoc-voc
75, Never-worked, Bachelors
75, Never-worked, 10th
75, Never-worked, 1st-4th
75, Never-worked, Prof-school
75, Never-worked, HS-grad
75, Never-worked, 7th-8th
75, Never-worked, 12th
75, Never-worked, Some-college
75, Never-worked, 5th-6th
75, Never-worked, Preschool
75, Never-worked, 11th
75, Never-worked, Doctorate
75, Never-worked, 9th
75, Never-worked, Assoc-acdm
75, Local-gov, Masters
75, Local-gov, Assoc-voc
75, Local-gov, Bachelors
75, Local-gov, 10th
75, Local-gov, 1st-4th
75, Local-gov, Prof-school
75, Local-gov, HS-grad
75, Local-gov, 7th-8th
75, Local-gov, 12th
75, Local-gov, Some-college
75, Local-gov, 5th-6th
75, Local-gov, Preschool
75, Local-gov, 11th
75, Local-gov, Doctorate
75, Local-gov, 9th
75, Local-gov, Assoc-acdm
75, Private, Masters
75, Private, Assoc-voc
75, Private, Bachelors
75, Private, 10th
75, Private, 1st-4th
75, Private, Prof-school
75, Private, HS-grad
75, Private, 7th-8th
75, Private, 12th
75, Private, Some-college
75, Private, 5th-6th
75, Private, Preschool
75, Private, 11th
75, Private, Doctorate
75, Private, 9th
75, Private, Assoc-acdm
75, Without-pay, Masters
75, Without-pay, Assoc-voc
75, Without-pay, Bachelors
75, Without-pay, 10th
75, Without-pay, 1st-4th
75, Without-pay, Prof-school
75, Without-pay, HS-grad
75, Without-pay, 7th-8th
75, Without-pay, 12th
75, Without-pay, Some-college
75, Without-pay, 5th-6th
75, Without-pay, Preschool
75, Without-pay, 11th
75, Without-pay, Doctorate
75, Without-pay, 9th
75, Without-pay, Assoc-acdm
75, Self-emp-inc, Masters
75, Self-emp-inc, Assoc-voc
75, Self-emp-inc, Bachelors
75, Self-emp-inc, 10th
75, Self-emp-inc, 1st-4th
75, Self-emp-inc, Prof-school
75, Self-emp-inc, HS-grad
75, Self-emp-inc, 7th-8th
75, Self-emp-inc, 12th
75, Self-emp-inc, Some-college
75, Self-emp-inc, 5th-6th
75, Self-emp-inc, Preschool
75, Self-emp-inc, 11th
75, Self-emp-inc, Doctorate
75, Self-emp-inc, 9th
75, Self-emp-inc, Assoc-acdm
75, State-gov, Masters
75, State-gov, Assoc-voc
75, State-gov, Bachelors
75, State-gov, 10th
75, State-gov, 1st-4th
75, State-gov, Prof-school
75, State-gov, HS-grad
75, State-gov, 7th-8th
75, State-gov, 12th
75, State-gov, Some-college
75, State-gov, 5th-6th
75, State-gov, Preschool
75, State-gov, 11th
75, State-gov, Doctorate
75, State-gov, 9th
75, State-gov, Assoc-acdm
46, Federal-gov, Masters
46, Federal-gov, Assoc-voc
46, Federal-gov, Bachelors
46, Federal-gov, 10th
46, Federal-gov, 1st-4th
46, Federal-gov, Prof-school
46, Federal-gov, HS-grad
46, Federal-gov, 7th-8th
46, Federal-gov, 12th
46, Federal-gov, Some-college
46, Federal-gov, 5th-6th
46, Federal-gov, Preschool
46, Federal-gov, 11th
46, Federal-gov, Doctorate
46, Federal-gov, 9th
46, Federal-gov, Assoc-acdm
46, ?, Masters
46, ?, Assoc-voc
46, ?, Bachelors
46, ?, 10th
46, ?, 1st-4th
46, ?, Prof-school
46, ?, HS-grad
46, ?, 7th-8th
46, ?, 12th
46, ?, Some-college
46, ?, 5th-6th
46, ?, Preschool
46, ?, 11th
46, ?, Doctorate
46, ?, 9th
46, ?, Assoc-acdm
46, Self-emp-not-inc, Masters
46, Self-emp-not-inc, Assoc-voc
46, Self-emp-not-inc, Bachelors
46, Self-emp-not-inc, 10th
46, Self-emp-not-inc, 1st-4th
46, Self-emp-not-inc, Prof-school
46, Self-emp-not-inc, HS-grad
46, Self-emp-not-inc, 7th-8th
46, Self-emp-not-inc, 12th
46, Self-emp-not-inc, Some-college
46, Self-emp-not-inc, 5th-6th
46, Self-emp-not-inc, Preschool
46, Self-emp-not-inc, 11th
46, Self-emp-not-inc, Doctorate
46, Self-emp-not-inc, 9th
46, Self-emp-not-inc, Assoc-acdm
46, Never-worked, Masters
46, Never-worked, Assoc-voc
46, Never-worked, Bachelors
46, Never-worked, 10th
46, Never-worked, 1st-4th
46, Never-worked, Prof-school
46, Never-worked, HS-grad
46, Never-worked, 7th-8th
46, Never-worked, 12th
46, Never-worked, Some-college
46, Never-worked, 5th-6th
46, Never-worked, Preschool
46, Never-worked, 11th
46, Never-worked, Doctorate
46, Never-worked, 9th
46, Never-worked, Assoc-acdm
46, Local-gov, Masters
46, Local-gov, Assoc-voc
46, Local-gov, Bachelors
46, Local-gov, 10th
46, Local-gov, 1st-4th
46, Local-gov, Prof-school
46, Local-gov, HS-grad
46, Local-gov, 7th-8th
46, Local-gov, 12th
46, Local-gov, Some-college
46, Local-gov, 5th-6th
46, Local-gov, Preschool
46, Local-gov, 11th
46, Local-gov, Doctorate
46, Local-gov, 9th
46, Local-gov, Assoc-acdm
46, Private, Masters
46, Private, Assoc-voc
46, Private, Bachelors
46, Private, 10th
46, Private, 1st-4th
46, Private, Prof-school
46, Private, HS-grad
46, Private, 7th-8th
46, Private, 12th
46, Private, Some-college
46, Private, 5th-6th
46, Private, Preschool
46, Private, 11th
46, Private, Doctorate
46, Private, 9th
46, Private, Assoc-acdm
46, Without-pay, Masters
46, Without-pay, Assoc-voc
46, Without-pay, Bachelors
46, Without-pay, 10th
46, Without-pay, 1st-4th
46, Without-pay, Prof-school
46, Without-pay, HS-grad
46, Without-pay, 7th-8th
46, Without-pay, 12th
46, Without-pay, Some-college
46, Without-pay, 5th-6th
46, Without-pay, Preschool
46, Without-pay, 11th
46, Without-pay, Doctorate
46, Without-pay, 9th
46, Without-pay, Assoc-acdm
46, Self-emp-inc, Masters
46, Self-emp-inc, Assoc-voc
46, Self-emp-inc, Bachelors
46, Self-emp-inc, 10th
46, Self-emp-inc, 1st-4th
46, Self-emp-inc, Prof-school
46, Self-emp-inc, HS-grad
46, Self-emp-inc, 7th-8th
46, Self-emp-inc, 12th
46, Self-emp-inc, Some-college
46, Self-emp-inc, 5th-6th
46, Self-emp-inc, Preschool
46, Self-emp-inc, 11th
46, Self-emp-inc, Doctorate
46, Self-emp-inc, 9th
46, Self-emp-inc, Assoc-acdm
46, State-gov, Masters
46, State-gov, Assoc-voc
46, State-gov, Bachelors
46, State-gov, 10th
46, State-gov, 1st-4th
46, State-gov, Prof-school
46, State-gov, HS-grad
46, State-gov, 7th-8th
46, State-gov, 12th
46, State-gov, Some-college
46, State-gov, 5th-6th
46, State-gov, Preschool
46, State-gov, 11th
46, State-gov, Doctorate
46, State-gov, 9th
46, State-gov, Assoc-acdm
66, Federal-gov, Masters
66, Federal-gov, Assoc-voc
66, Federal-gov, Bachelors
66, Federal-gov, 10th
66, Federal-gov, 1st-4th
66, Federal-gov, Prof-school
66, Federal-gov, HS-grad
66, Federal-gov, 7th-8th
66, Federal-gov, 12th
66, Federal-gov, Some-college
66, Federal-gov, 5th-6th
66, Federal-gov, Preschool
66, Federal-gov, 11th
66, Federal-gov, Doctorate
66, Federal-gov, 9th
66, Federal-gov, Assoc-acdm
66, ?, Masters
66, ?, Assoc-voc
66, ?, Bachelors
66, ?, 10th
66, ?, 1st-4th
66, ?, Prof-school
66, ?, HS-grad
66, ?, 7th-8th
66, ?, 12th
66, ?, Some-college
66, ?, 5th-6th
66, ?, Preschool
66, ?, 11th
66, ?, Doctorate
66, ?, 9th
66, ?, Assoc-acdm
66, Self-emp-not-inc, Masters
66, Self-emp-not-inc, Assoc-voc
66, Self-emp-not-inc, Bachelors
66, Self-emp-not-inc, 10th
66, Self-emp-not-inc, 1st-4th
66, Self-emp-not-inc, Prof-school
66, Self-emp-not-inc, HS-grad
66, Self-emp-not-inc, 7th-8th
66, Self-emp-not-inc, 12th
66, Self-emp-not-inc, Some-college
66, Self-emp-not-inc, 5th-6th
66, Self-emp-not-inc, Preschool
66, Self-emp-not-inc, 11th
66, Self-emp-not-inc, Doctorate
66, Self-emp-not-inc, 9th
66, Self-emp-not-inc, Assoc-acdm
66, Never-worked, Masters
66, Never-worked, Assoc-voc
66, Never-worked, Bachelors
66, Never-worked, 10th
66, Never-worked, 1st-4th
66, Never-worked, Prof-school
66, Never-worked, HS-grad
66, Never-worked, 7th-8th
66, Never-worked, 12th
66, Never-worked, Some-college
66, Never-worked, 5th-6th
66, Never-worked, Preschool
66, Never-worked, 11th
66, Never-worked, Doctorate
66, Never-worked, 9th
66, Never-worked, Assoc-acdm
66, Local-gov, Masters
66, Local-gov, Assoc-voc
66, Local-gov, Bachelors
66, Local-gov, 10th
66, Local-gov, 1st-4th
66, Local-gov, Prof-school
66, Local-gov, HS-grad
66, Local-gov, 7th-8th
66, Local-gov, 12th
66, Local-gov, Some-college
66, Local-gov, 5th-6th
66, Local-gov, Preschool
66, Local-gov, 11th
66, Local-gov, Doctorate
66, Local-gov, 9th
66, Local-gov, Assoc-acdm
66, Private, Masters
66, Private, Assoc-voc
66, Private, Bachelors
66, Private, 10th
66, Private, 1st-4th
66, Private, Prof-school
66, Private, HS-grad
66, Private, 7th-8th
66, Private, 12th
66, Private, Some-college
66, Private, 5th-6th
66, Private, Preschool
66, Private, 11th
66, Private, Doctorate
66, Private, 9th
66, Private, Assoc-acdm
66, Without-pay, Masters
66, Without-pay, Assoc-voc
66, Without-pay, Bachelors
66, Without-pay, 10th
66, Without-pay, 1st-4th
66, Without-pay, Prof-school
66, Without-pay, HS-grad
66, Without-pay, 7th-8th
66, Without-pay, 12th
66, Without-pay, Some-college
66, Without-pay, 5th-6th
66, Without-pay, Preschool
66, Without-pay, 11th
66, Without-pay, Doctorate
66, Without-pay, 9th
66, Without-pay, Assoc-acdm
66, Self-emp-inc, Masters
66, Self-emp-inc, Assoc-voc
66, Self-emp-inc, Bachelors
66, Self-emp-inc, 10th
66, Self-emp-inc, 1st-4th
66, Self-emp-inc, Prof-school
66, Self-emp-inc, HS-grad
66, Self-emp-inc, 7th-8th
66, Self-emp-inc, 12th
66, Self-emp-inc, Some-college
66, Self-emp-inc, 5th-6th
66, Self-emp-inc, Preschool
66, Self-emp-inc, 11th
66, Self-emp-inc, Doctorate
66, Self-emp-inc, 9th
66, Self-emp-inc, Assoc-acdm
66, State-gov, Masters
66, State-gov, Assoc-voc
66, State-gov, Bachelors
66, State-gov, 10th
66, State-gov, 1st-4th
66, State-gov, Prof-school
66, State-gov, HS-grad
66, State-gov, 7th-8th
66, State-gov, 12th
66, State-gov, Some-college
66, State-gov, 5th-6th
66, State-gov, Preschool
66, State-gov, 11th
66, State-gov, Doctorate
66, State-gov, 9th
66, State-gov, Assoc-acdm
58, Federal-gov, Masters
58, Federal-gov, Assoc-voc
58, Federal-gov, Bachelors
58, Federal-gov, 10th
58, Federal-gov, 1st-4th
58, Federal-gov, Prof-school
58, Federal-gov, HS-grad
58, Federal-gov, 7th-8th
58, Federal-gov, 12th
58, Federal-gov, Some-college
58, Federal-gov, 5th-6th
58, Federal-gov, Preschool
58, Federal-gov, 11th
58, Federal-gov, Doctorate
58, Federal-gov, 9th
58, Federal-gov, Assoc-acdm
58, ?, Masters
58, ?, Assoc-voc
58, ?, Bachelors
58, ?, 10th
58, ?, 1st-4th
58, ?, Prof-school
58, ?, HS-grad
58, ?, 7th-8th
58, ?, 12th
58, ?, Some-college
58, ?, 5th-6th
58, ?, Preschool
58, ?, 11th
58, ?, Doctorate
58, ?, 9th
58, ?, Assoc-acdm
58, Self-emp-not-inc, Masters
58, Self-emp-not-inc, Assoc-voc
58, Self-emp-not-inc, Bachelors
58, Self-emp-not-inc, 10th
58, Self-emp-not-inc, 1st-4th
58, Self-emp-not-inc, Prof-school
58, Self-emp-not-inc, HS-grad
58, Self-emp-not-inc, 7th-8th
58, Self-emp-not-inc, 12th
58, Self-emp-not-inc, Some-college
58, Self-emp-not-inc, 5th-6th
58, Self-emp-not-inc, Preschool
58, Self-emp-not-inc, 11th
58, Self-emp-not-inc, Doctorate
58, Self-emp-not-inc, 9th
58, Self-emp-not-inc, Assoc-acdm
58, Never-worked, Masters
58, Never-worked, Assoc-voc
58, Never-worked, Bachelors
58, Never-worked, 10th
58, Never-worked, 1st-4th
58, Never-worked, Prof-school
58, Never-worked, HS-grad
58, Never-worked, 7th-8th
58, Never-worked, 12th
58, Never-worked, Some-college
58, Never-worked, 5th-6th
58, Never-worked, Preschool
58, Never-worked, 11th
58, Never-worked, Doctorate
58, Never-worked, 9th
58, Never-worked, Assoc-acdm
58, Local-gov, Masters
58, Local-gov, Assoc-voc
58, Local-gov, Bachelors
58, Local-gov, 10th
58, Local-gov, 1st-4th
58, Local-gov, Prof-school
58, Local-gov, HS-grad
58, Local-gov, 7th-8th
58, Local-gov, 12th
58, Local-gov, Some-college
58, Local-gov, 5th-6th
58, Local-gov, Preschool
58, Local-gov, 11th
58, Local-gov, Doctorate
58, Local-gov, 9th
58, Local-gov, Assoc-acdm
58, Private, Masters
58, Private, Assoc-voc
58, Private, Bachelors
58, Private, 10th
58, Private, 1st-4th
58, Private, Prof-school
58, Private, HS-grad
58, Private, 7th-8th
58, Private, 12th
58, Private, Some-college
58, Private, 5th-6th
58, Private, Preschool
58, Private, 11th
58, Private, Doctorate
58, Private, 9th
58, Private, Assoc-acdm
58, Without-pay, Masters
58, Without-pay, Assoc-voc
58, Without-pay, Bachelors
58, Without-pay, 10th
58, Without-pay, 1st-4th
58, Without-pay, Prof-school
58, Without-pay, HS-grad
58, Without-pay, 7th-8th
58, Without-pay, 12th
58, Without-pay, Some-college
58, Without-pay, 5th-6th
58, Without-pay, Preschool
58, Without-pay, 11th
58, Without-pay, Doctorate
58, Without-pay, 9th
58, Without-pay, Assoc-acdm
58, Self-emp-inc, Masters
58, Self-emp-inc, Assoc-voc
58, Self-emp-inc, Bachelors
58, Self-emp-inc, 10th
58, Self-emp-inc, 1st-4th
58, Self-emp-inc, Prof-school
58, Self-emp-inc, HS-grad
58, Self-emp-inc, 7th-8th
58, Self-emp-inc, 12th
58, Self-emp-inc, Some-college
58, Self-emp-inc, 5th-6th
58, Self-emp-inc, Preschool
58, Self-emp-inc, 11th
58, Self-emp-inc, Doctorate
58, Self-emp-inc, 9th
58, Self-emp-inc, Assoc-acdm
58, State-gov, Masters
58, State-gov, Assoc-voc
58, State-gov, Bachelors
58, State-gov, 10th
58, State-gov, 1st-4th
58, State-gov, Prof-school
58, State-gov, HS-grad
58, State-gov, 7th-8th
58, State-gov, 12th
58, State-gov, Some-college
58, State-gov, 5th-6th
58, State-gov, Preschool
58, State-gov, 11th
58, State-gov, Doctorate
58, State-gov, 9th
58, State-gov, Assoc-acdm
60, Federal-gov, Masters
60, Federal-gov, Assoc-voc
60, Federal-gov, Bachelors
60, Federal-gov, 10th
60, Federal-gov, 1st-4th
60, Federal-gov, Prof-school
60, Federal-gov, HS-grad
60, Federal-gov, 7th-8th
60, Federal-gov, 12th
60, Federal-gov, Some-college
60, Federal-gov, 5th-6th
60, Federal-gov, Preschool
60, Federal-gov, 11th
60, Federal-gov, Doctorate
60, Federal-gov, 9th
60, Federal-gov, Assoc-acdm
60, ?, Masters
60, ?, Assoc-voc
60, ?, Bachelors
60, ?, 10th
60, ?, 1st-4th
60, ?, Prof-school
60, ?, HS-grad
60, ?, 7th-8th
60, ?, 12th
60, ?, Some-college
60, ?, 5th-6th
60, ?, Preschool
60, ?, 11th
60, ?, Doctorate
60, ?, 9th
60, ?, Assoc-acdm
60, Self-emp-not-inc, Masters
60, Self-emp-not-inc, Assoc-voc
60, Self-emp-not-inc, Bachelors
60, Self-emp-not-inc, 10th
60, Self-emp-not-inc, 1st-4th
60, Self-emp-not-inc, Prof-school
60, Self-emp-not-inc, HS-grad
60, Self-emp-not-inc, 7th-8th
60, Self-emp-not-inc, 12th
60, Self-emp-not-inc, Some-college
60, Self-emp-not-inc, 5th-6th
60, Self-emp-not-inc, Preschool
60, Self-emp-not-inc, 11th
60, Self-emp-not-inc, Doctorate
60, Self-emp-not-inc, 9th
60, Self-emp-not-inc, Assoc-acdm
60, Never-worked, Masters
60, Never-worked, Assoc-voc
60, Never-worked, Bachelors
60, Never-worked, 10th
60, Never-worked, 1st-4th
60, Never-worked, Prof-school
60, Never-worked, HS-grad
60, Never-worked, 7th-8th
60, Never-worked, 12th
60, Never-worked, Some-college
60, Never-worked, 5th-6th
60, Never-worked, Preschool
60, Never-worked, 11th
60, Never-worked, Doctorate
60, Never-worked, 9th
60, Never-worked, Assoc-acdm
60, Local-gov, Masters
60, Local-gov, Assoc-voc
60, Local-gov, Bachelors
60, Local-gov, 10th
60, Local-gov, 1st-4th
60, Local-gov, Prof-school
60, Local-gov, HS-grad
60, Local-gov, 7th-8th
60, Local-gov, 12th
60, Local-gov, Some-college
60, Local-gov, 5th-6th
60, Local-gov, Preschool
60, Local-gov, 11th
60, Local-gov, Doctorate
60, Local-gov, 9th
60, Local-gov, Assoc-acdm
60, Private, Masters
60, Private, Assoc-voc
60, Private, Bachelors
60, Private, 10th
60, Private, 1st-4th
60, Private, Prof-school
60, Private, HS-grad
60, Private, 7th-8th
60, Private, 12th
60, Private, Some-college
60, Private, 5th-6th
60, Private, Preschool
60, Private, 11th
60, Private, Doctorate
60, Private, 9th
60, Private, Assoc-acdm
60, Without-pay, Masters
60, Without-pay, Assoc-voc
60, Without-pay, Bachelors
60, Without-pay, 10th
60, Without-pay, 1st-4th
60, Without-pay, Prof-school
60, Without-pay, HS-grad
60, Without-pay, 7th-8th
60, Without-pay, 12th
60, Without-pay, Some-college
60, Without-pay, 5th-6th
60, Without-pay, Preschool
60, Without-pay, 11th
60, Without-pay, Doctorate
60, Without-pay, 9th
60, Without-pay, Assoc-acdm
60, Self-emp-inc, Masters
60, Self-emp-inc, Assoc-voc
60, Self-emp-inc, Bachelors
60, Self-emp-inc, 10th
60, Self-emp-inc, 1st-4th
60, Self-emp-inc, Prof-school
60, Self-emp-inc, HS-grad
60, Self-emp-inc, 7th-8th
60, Self-emp-inc, 12th
60, Self-emp-inc, Some-college
60, Self-emp-inc, 5th-6th
60, Self-emp-inc, Preschool
60, Self-emp-inc, 11th
60, Self-emp-inc, Doctorate
60, Self-emp-inc, 9th
60, Self-emp-inc, Assoc-acdm
60, State-gov, Masters
60, State-gov, Assoc-voc
60, State-gov, Bachelors
60, State-gov, 10th
60, State-gov, 1st-4th
60, State-gov, Prof-school
60, State-gov, HS-grad
60, State-gov, 7th-8th
60, State-gov, 12th
60, State-gov, Some-college
60, State-gov, 5th-6th
60, State-gov, Preschool
60, State-gov, 11th
60, State-gov, Doctorate
60, State-gov, 9th
60, State-gov, Assoc-acdm
34, Federal-gov, Masters
34, Federal-gov, Assoc-voc
34, Federal-gov, Bachelors
34, Federal-gov, 10th
34, Federal-gov, 1st-4th
34, Federal-gov, Prof-school
34, Federal-gov, HS-grad
34, Federal-gov, 7th-8th
34, Federal-gov, 12th
34, Federal-gov, Some-college
34, Federal-gov, 5th-6th
34, Federal-gov, Preschool
34, Federal-gov, 11th
34, Federal-gov, Doctorate
34, Federal-gov, 9th
34, Federal-gov, Assoc-acdm
34, ?, Masters
34, ?, Assoc-voc
34, ?, Bachelors
34, ?, 10th
34, ?, 1st-4th
34, ?, Prof-school
34, ?, HS-grad
34, ?, 7th-8th
34, ?, 12th
34, ?, Some-college
34, ?, 5th-6th
34, ?, Preschool
34, ?, 11th
34, ?, Doctorate
34, ?, 9th
34, ?, Assoc-acdm
34, Self-emp-not-inc, Masters
34, Self-emp-not-inc, Assoc-voc
34, Self-emp-not-inc, Bachelors
34, Self-emp-not-inc, 10th
34, Self-emp-not-inc, 1st-4th
34, Self-emp-not-inc, Prof-school
34, Self-emp-not-inc, HS-grad
34, Self-emp-not-inc, 7th-8th
34, Self-emp-not-inc, 12th
34, Self-emp-not-inc, Some-college
34, Self-emp-not-inc, 5th-6th
34, Self-emp-not-inc, Preschool
34, Self-emp-not-inc, 11th
34, Self-emp-not-inc, Doctorate
34, Self-emp-not-inc, 9th
34, Self-emp-not-inc, Assoc-acdm
34, Never-worked, Masters
34, Never-worked, Assoc-voc
34, Never-worked, Bachelors
34, Never-worked, 10th
34, Never-worked, 1st-4th
34, Never-worked, Prof-school
34, Never-worked, HS-grad
34, Never-worked, 7th-8th
34, Never-worked, 12th
34, Never-worked, Some-college
34, Never-worked, 5th-6th
34, Never-worked, Preschool
34, Never-worked, 11th
34, Never-worked, Doctorate
34, Never-worked, 9th
34, Never-worked, Assoc-acdm
34, Local-gov, Masters
34, Local-gov, Assoc-voc
34, Local-gov, Bachelors
34, Local-gov, 10th
34, Local-gov, 1st-4th
34, Local-gov, Prof-school
34, Local-gov, HS-grad
34, Local-gov, 7th-8th
34, Local-gov, 12th
34, Local-gov, Some-college
34, Local-gov, 5th-6th
34, Local-gov, Preschool
34, Local-gov, 11th
34, Local-gov, Doctorate
34, Local-gov, 9th
34, Local-gov, Assoc-acdm
34, Private, Masters
34, Private, Assoc-voc
34, Private, Bachelors
34, Private, 10th
34, Private, 1st-4th
34, Private, Prof-school
34, Private, HS-grad
34, Private, 7th-8th
34, Private, 12th
34, Private, Some-college
34, Private, 5th-6th
34, Private, Preschool
34, Private, 11th
34, Private, Doctorate
34, Private, 9th
34, Private, Assoc-acdm
34, Without-pay, Masters
34, Without-pay, Assoc-voc
34, Without-pay, Bachelors
34, Without-pay, 10th
34, Without-pay, 1st-4th
34, Without-pay, Prof-school
34, Without-pay, HS-grad
34, Without-pay, 7th-8th
34, Without-pay, 12th
34, Without-pay, Some-college
34, Without-pay, 5th-6th
34, Without-pay, Preschool
34, Without-pay, 11th
34, Without-pay, Doctorate
34, Without-pay, 9th
34, Without-pay, Assoc-acdm
34, Self-emp-inc, Masters
34, Self-emp-inc, Assoc-voc
34, Self-emp-inc, Bachelors
34, Self-emp-inc, 10th
34, Self-emp-inc, 1st-4th
34, Self-emp-inc, Prof-school
34, Self-emp-inc, HS-grad
34, Self-emp-inc, 7th-8th
34, Self-emp-inc, 12th
34, Self-emp-inc, Some-college
34, Self-emp-inc, 5th-6th
34, Self-emp-inc, Preschool
34, Self-emp-inc, 11th
34, Self-emp-inc, Doctorate
34, Self-emp-inc, 9th
34, Self-emp-inc, Assoc-acdm
34, State-gov, Masters
34, State-gov, Assoc-voc
34, State-gov, Bachelors
34, State-gov, 10th
34, State-gov, 1st-4th
34, State-gov, Prof-school
34, State-gov, HS-grad
34, State-gov, 7th-8th
